BHName,Bhagg
Rice,Rice
"Other cereals, flour and other cereal products",Bread and cereals
Bread,Bread and cereals
Other bakery products,Bread and cereals
Pasta products and couscous,Bread and cereals
Beef and veal,Beef and veal
Pork,Pork
"Lamb, mutton and goat","Lamb, mutton and goat"
Poultry,Poultry
Other meats and meat preparations,Other meats and meat preparations
Fish and seafood,Fish and seafood
Fresh milk,Milk products
Preserved milk and other milk products,Milk products
Cheese and curd,Milk products
Eggs and egg-based products,Eggs
Oils and fats,Oils and fats
Fruit,Fruit
Vegetables,Vegetables
"Sugar, jam, honey, chocolate and confectionery","Sugar, jam, honey, chocolate and confectionery"
Food products n.e.c. (Class),Food products n.e.c. (Class)
Catering services (Class),Catering services (Class)
