live,dead
"945|Meat live weight, cattle","867|Meat, cattle"
"1095|Meat live weight, chicken","1058|Meat, chicken"
"1071|Meat live weight, duck","1069|Meat, duck"
"1033|Meat live weight, goat","1017|Meat, goat"
"1078|Meat live weight, goose","1073|Meat, goose and guinea fowl"
"1056|Meat live weight, pig","1035|Meat, pig"
"1013|Meat live weight, sheep","977|Meat, sheep"
"1088|Meat live weight, turkey","1080|Meat, turkey"
"1121|Meat live weight, horse","1097|Meat, horse"
"1145|Meat live weight, rabbit","1141|Meat, rabbit"
"1123|Meat live weight, ass","1108|Meat, ass"
"973|Meat live weight, buffalo","947|Meat, buffalo"
"1125|Meat live weight, mule","1111|Meat, mule"
"1138|Meat live weight, camel","1127|Meat, camel"
"1085|Meat live weight, poultry, other","1089|Meat, bird nes"
"1162|Meat live weight, camelids, other","1158|Meat, other camelids"
